Location,Rating,Comment,Transaction Date and Time,Transaction Value,feedback_id,,
Domain,5,"Awesome, friendly staff, they all are smiling and makes you start your day off with a great attitude",19/10/2024 6:03:00 AM,$19.50,4974583,,
Timaru,5,The service,19/10/2024 6:09:00 AM,$19.17,4974584,,
Upper Hutt,5,"The staff are fabulous and neither is too much trouble. Also the coffee and food are good, the premises are war, well lite, clean and comfortable. A good venue all round.",19/10/2024 6:13:00 AM,$10.60,4974586,,
Wellington central,4,More dairy + gluten free food options.,19/10/2024 6:21:00 AM,$4.00,4974587,,
Henderson,5,Friendly welcoming staff always smiling,19/10/2024 6:43:00 AM,$5.50,4974591,,
Ruakura  ,5,The team,19/10/2024 6:55:00 AM,$4.80,4974595,,
Rosebank Road,5,Amazing service.,19/10/2024 5:49:00 AM,$10.60,4974596,,
Domain,5,Always clean with good selection of food. Fantastic coffee with friendly personal service.,19/10/2024 6:45:00 AM,$10.00,4974600,,
Auckland Central,5,Exceptional customer service,19/10/2024 6:30:00 AM,$4.00,4974606,,
Wellington central,5,"Great service, always friendly!",19/10/2024 7:04:00 AM,$10.90,4974607,,
Domain,5,They make the best coffee and always so friendly,19/10/2024 7:18:00 AM,$5.30,4974609,,
Botany ,5,The people and service at Botany Town Center is always the best. AAA+,19/10/2024 7:29:00 AM,$23.20,4974613,,
Riccarton,5,Same great consistent customer service and quick coffee!,19/10/2024 7:33:00 AM,$5.60,4974615,,
Kapiti  ,5,All good food and staff,19/10/2024 7:25:00 AM,$12.78,4974616,,
Lincoln Road,3,The price of my coffee has gone up again. There is no payoff for using my keep cup and there should be some incentive to save waste and help environmentally.,19/10/2024 7:32:00 AM,$5.30,4974619,,
Timaru,5,"Fast friendly service, and welcomed by my first name on entry",19/10/2024 6:23:00 AM,$6.10,4974621,,
New Plymouth  ,5,Staff friendliness and good food,19/10/2024 7:39:00 AM,$42.80,4974622,,
Newtown,5,"Good food, great service",19/10/2024 6:54:00 AM,$19.90,4974623,,
Rosebank Road,5,Very friendly staff,19/10/2024 5:50:00 AM,$5.80,4974625,,
MT Wellington  ,4,A little less seasoning in the scones and stop the bench seating squabs from moving,19/10/2024 7:39:00 AM,$8.50,4974626,,
New Plymouth  ,3,Always good service. Hot chocolate not consistent.,19/10/2024 7:57:00 AM,$3.99,4974628,,
Aubyn  ,5,It’s clean friendly and the food and coffee is always good!,19/10/2024 8:03:00 AM,$6.70,4974629,,
Crofton Downs  ,5,Quality coffee & conversation....,19/10/2024 7:50:00 AM,$5.80,4974633,,
Ashburton ,5,Friendly staff and great coffee and food,19/10/2024 7:58:00 AM,$15.10,4974636,,
Invercargill  ,5,Friendly staff,19/10/2024 8:14:00 AM,$22.20,4974637,,
Lincoln Road,3,"Friendly, good coffee. Didn’t have the usual baked goods available even at 9am. Got the date scone instead, it was sooooo dry. Usually love the baking but the scone is not good.",19/10/2024 8:02:00 AM,$4.50,4974638,,
Richmond,5,"Friendly service, warm environment, great coffee and the best egg sandwich!",19/10/2024 7:58:00 AM,$5.50,4974639,,
Glen Eden,5,We love our local ABCs. They do great coffee and their service is always exceptional.,19/10/2024 7:39:01 AM,$10.60,4974640,,
Te Awamutu  ,5,"Good, consistent coffee",19/10/2024 7:33:00 AM,$10.10,4974641,,
Glen Eden,5,The staff know me by my first name and are so friendly and welcoming!,19/10/2024 6:53:00 AM,$5.30,4974642,,
Rangiora,5,Quick friendly service,19/10/2024 8:00:00 AM,$5.30,4974643,,
Glen Eden,5,Excellent service by Jane and the team!,19/10/2024 8:07:00 AM,$87.40,4974644,,
Gisborne  ,5,Good selection.,19/10/2024 6:54:00 AM,$4.00,4974646,,
Ellerslie ,5,Delicious coffee and very nice croissant and cake. Friendly service. Can't fault anything.,19/10/2024 7:46:01 AM,$20.80,4974647,,
Queenstown  ,4,All depends on where they were going,19/10/2024 8:25:00 AM,$4.77,4974649,,
Wellington central,5,Nice coffee & date with orange scone,19/10/2024 7:58:00 AM,$10.50,4974650,,
Richmond,5,The Muffin was very tasty.,19/10/2024 8:27:00 AM,$8.80,4974654,,
Nelson ,5,"love the friendly staff at the Nelson shop, they're really awesome!",19/10/2024 8:13:00 AM,$9.00,4974656,,
Auckland Central,4,Engagement with the wait staff was warmer and friendly.,19/10/2024 5:40:00 AM,$11.00,4974657,,
Sylvia Park ,5,Rob and the team are so lovely they welcomed me with a big smile and by name . I go there all the time and they know what coffee I like and it have ready for me by the time I get up to the counter .,19/10/2024 8:09:00 AM,$4.77,4974658,,
Broadway,5,Clean tidy nice staff.,19/10/2024 7:42:01 AM,$5.80,4974662,,
Henderson,3,It wasn’t the same long black what i usually get on rosebank road,19/10/2024 8:27:00 AM,$3.80,4974671,,
Nelson ,5,"Quick service, friendly staff",19/10/2024 8:28:00 AM,$5.00,4974676,,
Invercargill,5,"Service, atmosphere snd location",19/10/2024 8:27:00 AM,$10.50,4974685,,
Sylvia Park ,5,"The Manager (Rob) & his team here at the Sylvia Park ABCs is outstanding, they have World class customer service....",19/10/2024 7:20:00 AM,$3.37,4974688,,
Pukekohe ,5,Service and excellent coffee,19/10/2024 8:24:00 AM,$9.54,4974690,,
Pakuranga,5,awsome service and always friendly,19/10/2024 7:06:00 AM,$12.60,4974691,,
Albany  ,5,Great coffee Helpful pleasant order taker. Everything very good.,19/10/2024 8:32:00 AM,$19.50,4974694,,
Ashburton ,5,Very fast,19/10/2024 8:24:00 AM,$5.30,4974695,,
London St,5,"Absolutely love this place, always greet me with a smile and know my name and order. Excellent coffee and the staff are just wonderful. Favourite part of my day",19/10/2024 6:44:00 AM,$5.80,4974697,,
Auckland Central,5,the service was excellent. The staff were very friendly,19/10/2024 7:36:00 AM,$0.00,4974702,,
Dunedin  ,5,"Food pleasing - staff friendly, kind and sincere",19/10/2024 7:15:00 AM,$22.40,4974703,,
Masterton  ,5,Great service,19/10/2024 7:17:00 AM,$12.30,4974711,,
Wellington central,5,"Friendly (used my first name), efficient service",19/10/2024 7:50:00 AM,$5.50,4974712,,
Porirua  ,5,I love being able to walk in and my order is already on the screen as I'm a regular visitor.,19/10/2024 9:10:00 AM,$4.95,4974713,,
Taupo  ,5,they are always pleasent and notjing is a bothar that is every staff member,19/10/2024 8:50:00 AM,$15.60,4974714,,
Warkworth  ,5,The staff is very friendly,19/10/2024 9:10:00 AM,$4.00,4974715,,
Rotorua,5,Customer service,19/10/2024 8:14:00 AM,$15.60,4974718,,
London St,5,Excellent customer service,19/10/2024 8:33:00 AM,$5.20,4974719,,
Broadway,5,"Great staff, coffee and food.",19/10/2024 9:17:00 AM,$10.60,4974720,,
Rosebank Road,5,Lovely service and coffee,19/10/2024 9:20:00 AM,$5.00,4974722,,
Crofton Downs  ,5,Excellent service and great coffee,19/10/2024 8:38:00 AM,$20.30,4974726,,
Hastings  ,5,The engaging and welcoming order taker. So often the person at M10 Hastings is not,19/10/2024 8:42:00 AM,$7.02,4974728,,
Invercargill,5,"Friendly staff, fast efficient service, fantastic environment",19/10/2024 7:13:00 AM,$5.80,4974731,,
Broadway,5,"The team there make the effort to know us and our orders, One team member in particular was able to make my order when my workmates showed up and asked her to make whatever Micah normally has"" when I wasn't even anywhere near the building. Kendall is the BEST!""",19/10/2024 9:08:00 AM,$14.30,4974732,,
Newtown,5,"Always Friendly service, with smile!!!!!",19/10/2024 7:28:00 AM,$10.40,4974733,,
Ashburton ,5,"I like the coffee and the wonderful service,,..",19/10/2024 7:37:00 AM,$10.08,4974734,,
Queenstown  ,5,Great coffee and great service,19/10/2024 9:17:00 AM,$5.30,4974736,,
Dunedin  ,5,Excellent service .Very nice coffee and scones,19/10/2024 8:36:00 AM,$15.50,4974738,,
Williams Drive,5,Excellent chai latte Thankyou,19/10/2024 9:03:00 AM,$10.40,4974739,,
Broadway,5,"The broadway team are so friendly and helpful, the coffee is great, the sweet muffins are going to be the death of me, but are amazing! ?? really great place to relax and have a good coffee. Thank you.",19/10/2024 9:14:00 AM,$9.80,4974740,,
Glenfield ,5,Best coffee ever and fantastic service,19/10/2024 9:27:00 AM,$5.80,4974742,,
Ashburton ,5,"fast friendly service, takeaway coffee ready quickly.",19/10/2024 9:04:00 AM,$10.40,4974743,,
Williams Drive,2,"I ordered an almond milk cappuccino double shot with cinnamon, which I paid $5 for and it is almost thrown away quality as close to being undrinkable. This is a treat for me as I normally drink black coffee and do not normally go to this outlet but was passing and easier to go there than my usual cafe.I go to Glenfield Mitre10 Cafe regularly and get good coffee.",19/10/2024 9:14:00 AM,$5.00,4974745,,
Invercargill,5,STAFF QUALITY AND COFFEE CONSISTANCY.,19/10/2024 8:55:00 AM,$5.80,4974746,,
Pukekohe ,4,Coffee not hot enough.,19/10/2024 6:10:00 AM,$10.80,4974747,,
Nelson  ,5,Everything arrived before I sat down. That is service!!!,19/10/2024 9:35:00 AM,$10.50,4974749,,
MT Wellington  ,5,I get great service and the good service is consistent.,19/10/2024 9:35:00 AM,$6.50,4974750,,
Invercargill,5,"Great service, good environment",19/10/2024 9:23:00 AM,$4.50,4974752,,
Palmerston Nth ,5,"customer service.
they always know how I like my coffee.",19/10/2024 9:24:00 AM,$3.60,4974755,,
Porirua  ,5,Friendly prompt service,19/10/2024 9:34:00 AM,$9.00,4974756,,
Te Awamutu  ,5,Quick friendly service,19/10/2024 9:05:00 AM,$4.80,4974757,,
Nelson  ,5,Quick service lovely food and exceptional counter staff ??,19/10/2024 9:41:00 AM,$12.60,4974759,,
Porirua  ,5,The staff and fresh food,19/10/2024 7:37:00 AM,$5.00,4974762,,
Dunedin  ,4,Coffee needs to be a bit hotter.,19/10/2024 8:30:00 AM,$8.90,4974764,,
Napier  ,5,"Quick service, excellent coffee, good food.",19/10/2024 9:26:00 AM,$4.50,4974767,,
Hastings  ,5,Great service,19/10/2024 9:49:00 AM,$5.00,4974768,,
New Lynn  ,5,excellent service friendly staff awesome environment,19/10/2024 9:47:00 AM,$14.30,4974769,,
Whakatane,3,Ensure the café is free of flies etc.,19/10/2024 8:34:00 AM,$13.70,4974771,,
Riccarton,5,Friendly and quick,19/10/2024 8:46:00 AM,$5.40,4974772,,
Aubyn  ,5,Friendly staff. Very quick and yummy coffee,19/10/2024 8:19:00 AM,$12.80,4974773,,
